total loop,NTR loop,original poisoned train loss
1,0,0.037
2,0,0.0333
3,0,0.1072
4,0,0.091
5,0,0.0008
6,0,0.0186
7,0,0.0191
8,0,0.0456
9,0,0.0246
10,0,0.0191
11,0,0.0948
12,0,0.0722
13,0,0.0468
14,0,0.0631
15,0,0.0098
16,0,0.0846
17,0,0.0059
18,0,0.0203
19,0,0.0328
20,0,0.0084
21,0,0.0032
22,0,0.0466
23,0,0.0037
24,0,0.0286
25,0,0.0182
26,0,0.0748
27,0,0.0185
28,0,0.0154
29,0,0.0227
30,0,0.0599
31,0,0.0097
32,0,0.0835
33,0,0.0461
34,0,0.0014
35,0,0.0103
36,0,0.0329
37,0,0.0424
38,0,0.0064
39,0,0.0896
40,0,0.0146
41,0,0.0062
42,0,0.0656
43,0,0.0399
44,0,0.1465
45,0,0.0219
46,0,0.0059
47,0,0.0073
48,0,0.059
49,0,0.0419
50,0,0.0146
51,0,0.0199
52,0,0.0199
53,0,0.0529
54,0,0.0434
55,0,0.042
56,0,0.0523
57,0,0.035
58,0,0.09
59,0,0.0621
60,0,0.0492
61,0,0.0053
62,0,0.0799
63,0,0.0758
64,0,0.0023
65,0,0.0037
66,0,0.0173
67,0,0.0125
68,0,0.0044
69,0,0.0083
70,0,0.0073
71,0,0.0039
72,0,0.0034
73,0,0.0176
74,0,0.0167
75,0,0.0178
76,0,0.0206
77,0,0.0143
78,0,0.0095
79,0,0.025
80,0,0.0104
81,0,0.0006
82,0,0.0092
83,0,0.0019
84,0,0.0018
85,0,0.0018
86,0,0.0072
87,0,0.0074
88,0,0.0096
89,0,0.0024
90,0,0.0101
91,0,0.0027
92,0,0.0103
93,0,0.0072
94,0,0.0184
95,0,0.0044
96,0,0.0015
97,0,0.0066
98,0,0.0034
99,0,0.016
100,0,0.0042
101,0,0.0081
102,0,0.0204
103,0,0.0021
104,0,0.0028
105,0,0.008
106,0,0.0009
107,0,0.0042
108,0,0.009
109,0,0.0012
110,0,0.0054
111,0,0.0027
112,0,0.0028
113,0,0.0105
114,0,0.0213
115,0,0.0014
116,0,0.0135
117,0,0.0018
118,0,0.0042
119,0,0.0015
120,0,0.0012
121,0,0.001
122,0,0.0075
123,0,0.0106
124,0,0.0077
125,0,0.0017
126,0,0.0031
127,0,0.0004
128,0,0.0022
129,0,0.0004
130,0,0.0022
131,0,0.0005
132,0,0.0008
133,0,0.0013
134,0,0.0023
135,0,0.0006
136,0,0.0192
137,0,0.001
138,0,0.0008
139,0,0.0006
140,0,0.0034
141,0,0.0003
142,0,0.0009
143,0,0.0017
144,0,0.0007
145,0,0.0006
146,0,0.0048
147,0,0.0014
148,0,0.0017
149,0,0.0035
150,0,0.0026
151,0,0.0007
152,0,0.0047
153,0,0.0012
154,0,0.0007
155,0,0.0044
156,0,0.0022
157,0,0.0012
158,0,0.0005
159,0,0.0021
160,0,0.0011
161,0,0.0019
162,0,0.0019
163,0,0.0007
164,0,0.0007
165,0,0.0024
166,0,0.0029
167,0,0.0008
168,0,0.0013
169,0,0.0006
170,0,0.0009
171,0,0.0005
172,0,0.0022
173,0,0.0007
174,0,0.0007
175,0,0.0008
176,0,0.0005
177,0,0.0004
178,0,0.0044
179,0,0.0007
180,0,0.0023
181,0,0.0008
182,0,0.0002
183,0,0.001
184,0,0.002
185,0,0.0011
186,0,0.0003
187,0,0.0004
188,0,0.0021
189,0,0.0064
190,0,0.0049
191,0,0.0007
192,0,0.2071
193,0,0.0004
194,0,0.0016
195,0,0.0008
196,0,0.0046
197,0,0.0315
198,0,0.0104
199,0,0.0022
200,0,0.0032
201,0,0.0011
202,0,0.0082
203,0,0.0028
204,0,0.0388
205,0,0.0066
206,0,0.0204
207,0,0.0101
208,0,0.0053
209,0,0.0239
210,0,0.0091
211,0,0.003
212,0,0.0082
213,0,0.005
214,0,0.0033
215,0,0.0109
216,0,0.0035
217,0,0.0058
218,0,0.0021
219,0,0.0036
220,0,0.0029
221,0,0.0058
222,0,0.0029
223,0,0.0015
224,0,0.0208
225,0,0.0082
226,0,0.0355
227,0,0.0033
228,0,0.002
229,0,0.0007
230,0,0.0048
231,0,0.0064
232,0,0.0022
233,0,0.0062
234,0,0.0044
235,0,0.0158
236,0,0.003
237,0,0.0052
238,0,0.0008
239,0,0.0026
240,0,0.0108
241,0,0.0011
242,0,0.0273
243,0,0.0297
244,0,0.0052
245,0,0.0021
246,0,0.0005
247,0,0.0038
248,0,0.0035
249,0,0.0021
250,0,0.0054
251,0,0.022
252,0,0.0201
253,0,0.0684
254,0,0.0015
255,0,0.0039
256,0,0.017
257,0,0.0044
258,0,0.0006
259,0,0.0006
260,0,0.0087
261,0,0.0006
262,0,0.0015
263,0,0.0016
264,0,0.0007
265,0,0.0035
266,0,0.0008
267,0,0.0017
268,0,0.0041
269,0,0.0004
270,0,0.0058
271,0,0.0006
272,0,0.0067
273,0,0.0004
274,0,0.0037
275,0,0.0165
276,0,0.0031
277,0,0.0013
278,0,0.0123
279,0,0.0061
280,0,0.0023
281,0,0.001
282,0,0.0014
283,0,0.0009
284,0,0.0131
285,0,0.0078
286,0,0.0009
287,0,0.0042
288,0,0.0027
289,0,0.0022
290,0,0.0112
291,0,0.0019
292,0,0.0019
293,0,0.0024
294,0,0.0007
295,0,0.0016
296,0,0.0022
297,0,0.0019
298,0,0.0029
299,0,0.0015
300,0,0.001
301,0,0.0019
302,0,0.001
303,0,0.0034
304,0,0.0018
305,0,0.0062
306,0,0.0018
307,0,0.0008
308,0,0.0005
309,0,0.0008
310,0,0.0014
311,0,0.0005
312,0,0.0025
313,0,0.0014
314,0,0.0053
315,0,0.0019
316,0,0.0016
317,0,0.006
318,0,0.0071
319,0,0.0041
320,0,0.0001
321,0,0.001
322,0,0.0125
323,0,0.0013
324,0,0.0009
325,0,0.0013
326,0,0.0025
327,0,0.0005
328,0,0.0004
329,0,0.001
330,0,0.0012
331,0,0.0005
332,0,0.0003
333,0,0.0011
334,0,0.0054
335,0,0.0006
336,0,0.0045
337,0,0.0016
338,0,0.0026
339,0,0.001
340,0,0.0169
341,0,0.0015
342,0,0.0012
343,0,0.0003
344,0,0.0005
345,0,0.0015
346,0,0.0021
347,0,0.0202
348,0,0.0007
349,0,0.0021
350,0,0.0004
351,0,0.0003
352,0,0.0008
353,0,0.0002
354,0,0.001
355,0,0.002
356,0,0.0011
357,0,0.0027
358,0,0.001
359,0,0.0011
360,0,0.0011
361,0,0.0009
362,0,0.0002
363,0,0.0007
364,0,0.0004
365,0,0.0049
366,0,0.0005
367,0,0.0007
368,0,0.0009
369,0,0.0058
370,0,0.0009
371,0,0.0009
372,0,0.0011
373,0,0.002
374,0,0.0015
375,0,0.0009
376,0,0.0004
377,0,0.0007
378,0,0.0007
379,0,0.0016
380,0,0.0094
381,0,0.0016
382,0,0.001
383,0,0.0009
384,0,0.0002
385,0,0.0008
386,0,0.0009
387,0,0.0028
388,0,0.0009
389,0,0.0009
390,0,0.0005
391,0,0.0012
392,0,0.0013
393,0,0.0013
394,0,0.0023
395,0,0.0012
396,0,0.0009
397,0,0.003
398,0,0.0004
399,0,0.0012
400,0,0.001
401,0,0.0022
402,0,0.0012
403,0,0.0014
404,0,0.0003
405,0,0.0007
406,0,0.0004
407,0,0.0007
408,0,0.0004
409,0,0.0004
410,0,0.0011
411,0,0.0017
412,0,0.0012
413,0,0.0005
414,0,0.0004
415,0,0.0007
416,0,0.0005
417,0,0.0016
418,0,0.001
419,0,0.0011
420,0,0.0005
421,0,0.0019
422,0,0.0007
423,0,0.0008
424,0,0.0053
425,0,0.0009
426,0,0.0013
427,0,0.0011
428,0,0.0003
429,0,0.0014
430,0,0.0022
431,0,0.0004
432,0,0.0013
433,0,0.0018
434,0,0.0016
435,0,0.0004
436,0,0.0022
437,0,0.0008
438,0,0.0011
439,0,0.0013
440,0,0.0077
441,0,0.0032
442,0,0.0138
443,0,0.0004
444,0,0.0005
445,0,0.0006
446,0,0.0004
447,0,0.019
448,0,0.0049
449,0,0.0312
450,0,0.0027
451,0,0.0022
452,0,0.0017
453,0,0.0009
454,0,0.0006
455,0,0.0015
456,0,0.0006
457,0,0.0129
458,0,0.0276
459,0,0.001
460,0,0.002
461,0,0.0018
462,0,0.0006
463,0,0.0104
464,0,0.0048
465,0,0.001
466,0,0.0033
467,0,0.001
468,0,0.0206
469,0,0.0015
470,0,0.002
471,0,0.003
472,0,0.0011
473,0,0.0019
474,0,0.0015
475,0,0.0029
476,0,0.0185
477,0,0.0011
478,0,0.0042
479,0,0.0023
