Epoch,Clean Loss,Clean ACC,Targeted Loss,Targeted ASR
0,2.306,12.891,0.009,100.0
1,2.28,13.712,0.026,99.99
2,2.257,16.486,0.057,99.98
3,2.197,18.289,0.052,99.97
4,2.098,20.633,0.093,99.89
5,1.983,24.329,0.072,99.85
6,1.907,27.644,0.116,99.71
7,1.847,31.19,0.078,99.479
8,1.769,34.435,0.079,99.429
9,1.694,38.241,0.121,98.758
10,1.625,40.986,0.171,97.125
11,1.555,42.658,0.144,96.665
12,1.498,44.641,0.185,94.451
13,1.459,46.394,0.181,94.511
14,1.42,48.037,0.212,93.58
15,1.387,49.119,0.215,93.56
16,1.358,50.24,0.214,93.55
17,1.334,51.212,0.175,94.651
18,1.303,52.634,0.179,94.521
19,1.282,53.395,0.179,94.611
20,1.254,54.768,0.169,95.082
21,1.235,55.739,0.092,97.346
22,1.209,56.921,0.101,97.115
23,1.189,57.522,0.11,96.825
24,1.166,58.153,0.085,97.686
25,1.148,58.944,0.118,96.775
26,1.13,59.726,0.083,97.746
27,1.115,60.276,0.044,98.788
28,1.104,60.727,0.079,97.676
29,1.089,61.408,0.049,98.608
30,1.07,61.939,0.046,98.718
31,1.055,62.49,0.04,98.808
32,1.043,62.971,0.042,98.788
33,1.029,63.592,0.053,98.407
34,1.019,64.073,0.05,98.458
35,1.006,64.553,0.034,98.968
36,0.999,64.613,0.048,98.488
37,0.984,65.375,0.049,98.568
38,0.986,65.425,0.039,98.748
39,0.968,65.915,0.046,98.588
40,0.959,66.106,0.068,98.027
41,0.953,66.476,0.048,98.478
42,0.952,66.707,0.049,98.417
43,0.936,66.977,0.049,98.397
44,0.923,67.919,0.072,97.817
45,0.92,67.668,0.09,97.206
46,0.916,68.029,0.048,98.578
47,0.903,68.48,0.095,96.925
48,0.896,68.7,0.082,97.486
49,0.894,68.82,0.067,98.007
50,0.885,69.311,0.092,97.256
51,0.883,69.391,0.084,97.536
52,0.876,69.651,0.093,97.135
53,0.871,69.852,0.125,95.903
54,0.867,70.022,0.103,97.005
55,0.86,70.042,0.095,97.025
56,0.858,70.292,0.081,97.596
57,0.854,70.593,0.151,95.433
58,0.844,70.944,0.131,95.823
59,0.841,70.964,0.146,95.222
60,0.838,71.284,0.248,91.747
61,0.834,71.424,0.145,95.533
62,0.826,71.625,0.098,97.075
63,0.824,71.785,0.14,95.593
64,0.817,71.915,0.149,95.363
65,0.821,71.815,0.236,92.458
66,0.811,72.286,0.178,94.221
67,0.811,72.496,0.229,92.588
68,0.81,72.366,0.17,94.601
69,0.807,72.306,0.197,93.78
70,0.812,72.145,0.161,94.732
71,0.802,72.676,0.165,94.702
72,0.798,72.556,0.233,92.318
73,0.796,72.706,0.298,90.304
74,0.788,73.057,0.286,90.705
75,0.793,72.977,0.237,92.588
76,0.788,73.037,0.263,91.577
77,0.797,72.817,0.141,95.433
78,0.78,73.337,0.232,92.738
79,0.783,73.097,0.271,91.266
80,0.779,73.177,0.258,91.667
81,0.776,73.377,0.24,92.328
82,0.778,73.387,0.256,91.516
83,0.788,72.877,0.327,89.163
84,0.775,73.688,0.537,82.222
85,0.768,73.778,0.385,87.27
86,0.765,74.038,0.483,84.555
87,0.772,73.898,0.339,88.822
88,0.767,73.808,0.46,85.146
89,0.769,74.038,0.441,85.617
90,0.777,73.748,0.52,83.303
91,0.77,74.038,0.449,85.437
92,0.767,74.229,0.426,85.938
93,0.768,74.279,0.399,86.869
94,0.764,74.209,0.468,84.856
95,0.761,74.239,0.574,81.38
96,0.761,74.349,0.575,81.701
97,0.767,74.149,0.676,79.107
98,0.764,74.529,0.47,85.306
99,0.763,74.249,0.577,81.911
