Total Loop,FTS Loop,Restrict Poisoned Train Loss,Restrict Poisoned Train Acc
1,0,-3.471,8.0
2,0,-4.4,4.9
3,0,-3.286,3.4
4,0,-4.199,1.1
5,0,-3.129,6.0
6,0,-2.295,43.9
7,0,-3.122,15.3
8,0,-5.48,0.3
9,0,-3.322,5.2
10,0,-3.676,1.3
11,0,-3.42,8.6
12,0,-3.355,4.0
13,0,-2.732,8.0
14,0,-2.368,18.8
15,0,-3.521,4.4
16,0,-4.52,0.2
17,0,-2.965,6.9
18,0,-3.631,1.2
19,0,-4.175,2.6
20,0,-3.115,5.2
21,0,-1.661,20.4
22,0,-4.505,1.8
23,0,-2.719,16.5
24,0,-3.28,1.5
25,0,-2.419,15.0
26,0,-2.991,2.2
27,0,-3.043,9.0
28,0,-1.695,45.0
29,0,-3.669,0.1
30,0,-3.403,0.5
31,0,-2.531,1.6
32,0,-3.483,0.5
33,0,-2.161,3.9
34,0,-1.834,34.3
35,0,-2.663,1.7
36,0,-1.26,57.1
37,0,-3.341,2.7
38,0,-2.34,1.6
39,0,-2.07,2.6
40,0,-1.591,20.6
41,0,-4.818,0.1
42,0,-2.251,2.4
43,0,-2.56,1.3
44,0,-4.425,1.2
45,0,-1.353,29.2
46,0,-3.427,0.0
47,0,-4.286,0.9
48,0,-1.416,85.0
49,0,-1.307,87.8
50,0,-1.448,82.5
51,0,-2.343,2.1
52,0,-2.324,0.3
53,0,-3.461,1.3
54,0,-4.014,0.7
55,0,-2.75,0.6
56,0,-3.113,0.0
57,0,-1.548,77.6
58,0,-2.942,0.6
59,0,-3.018,0.4
60,0,-3.295,0.0
61,0,-4.582,0.8
62,0,-1.552,84.9
63,0,-3.249,0.0
64,0,-3.938,4.5
65,0,-3.032,0.1
66,0,-1.682,60.5
67,0,-2.179,0.3
68,0,-3.556,0.2
69,0,-5.003,0.1
70,0,-2.997,0.2
71,0,-1.913,3.7
72,0,-3.448,0.3
73,0,-2.868,0.5
74,0,-3.563,0.1
75,0,-3.34,0.3
76,0,-3.265,0.0
77,0,-2.886,0.7
78,0,-2.604,0.0
79,0,-2.563,0.3
80,0,-3.093,0.0
81,0,-3.254,0.8
82,0,-2.92,5.6
83,0,-3.046,0.0
84,0,-2.298,0.9
85,0,-4.131,0.2
86,0,-3.82,0.3
87,0,-2.299,0.4
88,0,-2.076,0.2
89,0,-3.163,0.2
90,0,-1.861,0.5
91,0,-3.915,0.1
92,0,-2.683,0.1
93,0,-4.69,0.1
94,0,-3.557,0.1
95,0,-2.899,0.1
96,0,-2.553,1.0
97,0,-3.352,0.0
98,0,-2.909,0.2
99,0,-3.169,0.0
100,0,-5.044,0.4
101,0,-2.264,0.0
102,0,-4.435,0.0
103,0,-1.619,11.0
104,0,-2.561,0.0
105,0,-2.861,0.2
106,0,-4.3,0.0
107,0,-1.619,15.7
108,0,-3.724,0.0
109,0,-4.454,0.1
110,0,-4.046,0.3
111,0,-1.14,92.4
112,0,-2.799,0.1
113,0,-2.295,0.0
114,0,-1.988,1.1
115,0,-2.313,0.1
116,0,-2.019,1.1
117,0,-2.96,0.1
118,0,-2.956,0.0
119,0,-1.716,2.7
120,0,-2.756,0.0
121,0,-2.891,5.7
122,0,-4.731,0.3
123,0,-3.698,0.1
124,0,-2.53,5.4
125,0,-2.944,5.4
126,0,-4.445,0.0
127,0,-2.635,0.1
128,0,-2.33,0.0
129,0,-2.911,0.2
130,0,-1.064,94.2
131,0,-4.535,5.2
132,0,-3.961,5.6
133,0,-1.276,91.5
134,0,-3.528,0.0
135,0,-3.709,0.1
136,0,-1.918,5.8
137,0,-2.759,4.9
138,0,-3.835,5.4
139,0,-1.709,0.3
140,0,-2.167,0.2
141,0,-0.886,94.0
142,0,-2.012,0.1
143,0,-2.484,0.0
144,0,-1.129,93.9
145,0,-3.203,0.1
146,0,-0.808,93.6
147,0,-3.49,0.2
148,0,-2.576,0.1
149,0,-3.064,4.9
150,0,-2.095,0.7
151,0,-3.004,4.5
152,0,-2.639,3.5
153,0,-1.295,93.7
154,0,-2.311,0.0
155,0,-2.346,0.1
156,0,-2.712,0.0
157,0,-3.319,0.0
158,0,-2.484,0.7
159,0,-3.011,0.1
160,0,-2.547,0.2
161,0,-3.306,4.2
162,0,-2.54,0.2
163,0,-3.953,2.2
164,0,-3.766,2.6
165,0,-2.488,0.0
166,0,-2.989,0.0
167,0,-2.52,0.7
168,0,-1.625,3.8
169,0,-2.969,0.0
170,0,-1.932,0.1
171,0,-2.715,0.0
172,0,-2.695,0.1
173,0,-3.582,0.0
174,0,-2.593,0.1
175,0,-3.0,0.1
176,0,-2.497,0.2
177,0,-2.978,0.0
178,0,-2.181,0.5
179,0,-2.267,0.2
180,0,-3.113,0.3
181,0,-2.418,0.0
182,0,-1.381,92.3
183,0,-1.648,92.1
184,0,-2.192,0.0
185,0,-2.836,0.0
186,0,-2.329,0.5
187,0,-2.98,0.1
188,0,-4.06,1.2
189,0,-1.733,6.9
190,0,-3.013,0.0
191,0,-2.488,0.2
192,0,-2.528,0.1
193,0,-4.423,0.5
194,0,-1.662,90.6
195,0,-2.354,1.0
196,0,-3.548,0.0
197,0,-3.674,1.9
198,0,-3.481,0.2
199,0,-2.606,0.1
