Total Loop,NTR loop,Orig Poisoned Train Loss,Orig Clean Test Acc,Orig ASR
1,0,0.0395,89.197,100.0
2,0,0.036,88.586,99.975
3,0,0.1078,87.924,99.924
4,0,0.0886,87.847,99.924
5,0,0.0009,88.025,99.924
6,0,0.0143,87.873,99.873
7,0,0.0243,88.051,99.898
8,0,0.0447,87.924,99.949
9,0,0.0247,87.949,99.924
10,0,0.0198,88.025,99.924
11,0,0.0816,88.535,99.924
12,0,0.0701,89.172,99.924
13,0,0.0341,89.452,99.924
14,0,0.0442,89.605,99.924
15,0,0.0065,89.554,99.924
16,0,0.0754,89.529,99.924
17,0,0.0018,89.58,99.924
18,0,0.035,89.631,99.949
19,0,0.0416,90.038,99.975
20,0,0.0111,89.987,99.975
21,0,0.0026,90.013,99.975
22,0,0.05,89.758,99.975
23,0,0.01,89.732,99.975
24,0,0.0088,89.707,99.975
25,0,0.0168,89.631,99.975
26,0,0.067,89.758,100.0
27,0,0.0056,89.656,99.975
28,0,0.0186,89.682,100.0
29,0,0.0165,89.605,100.0
30,0,0.0637,89.682,100.0
31,0,0.0055,89.707,100.0
32,0,0.0833,89.682,100.0
33,0,0.0493,89.529,100.0
34,0,0.012,89.478,100.0
35,0,0.0083,89.605,100.0
36,0,0.0308,89.885,100.0
37,0,0.0659,89.936,100.0
38,0,0.0054,89.86,100.0
39,0,0.0946,89.758,100.0
40,0,0.0206,89.707,100.0
41,0,0.0086,89.554,100.0
42,0,0.0573,89.656,100.0
43,0,0.035,89.783,100.0
44,0,0.1469,89.86,100.0
45,0,0.036,89.885,100.0
46,0,0.0096,89.86,100.0
47,0,0.0186,89.885,100.0
48,0,0.0632,89.809,100.0
49,0,0.059,89.758,100.0
50,0,0.0156,89.86,100.0
51,0,0.0439,89.809,100.0
52,0,0.0165,89.936,100.0
53,0,0.0618,90.013,100.0
54,0,0.0243,90.166,100.0
55,0,0.039,90.242,100.0
56,0,0.0643,90.344,100.0
57,0,0.0466,90.42,100.0
58,0,0.0888,90.497,100.0
59,0,0.0665,90.42,100.0
60,0,0.0643,90.624,100.0
61,0,0.0049,90.369,100.0
62,0,0.1228,90.369,100.0
63,0,0.082,90.548,100.0
64,0,0.0007,90.548,100.0
65,0,0.0081,90.497,100.0
66,0,0.0125,90.471,100.0
67,0,0.0039,90.497,100.0
68,0,0.0071,90.522,100.0
69,0,0.0115,90.446,100.0
70,0,0.0113,90.497,100.0
71,0,0.0372,90.42,100.0
72,0,0.004,90.522,100.0
73,0,0.0156,90.14,100.0
74,0,0.0079,90.268,100.0
75,0,0.0084,90.268,100.0
76,0,0.0242,90.217,100.0
77,0,0.0059,90.344,100.0
78,0,0.0055,90.446,100.0
79,0,0.0036,90.471,100.0
80,0,0.0167,90.268,100.0
81,0,0.0149,90.344,100.0
82,0,0.0029,90.42,100.0
83,0,0.0064,90.446,100.0
84,0,0.0142,90.395,100.0
85,0,0.0099,90.446,100.0
86,0,0.0071,90.42,100.0
87,0,0.0075,90.369,100.0
88,0,0.0062,90.344,100.0
89,0,0.0041,90.369,100.0
90,0,0.0041,90.344,100.0
91,0,0.005,90.395,100.0
92,0,0.0034,90.369,100.0
93,0,0.0055,90.471,100.0
94,0,0.0082,90.522,100.0
95,0,0.0018,90.522,100.0
96,0,0.0026,90.599,100.0
97,0,0.0058,90.854,100.0
98,0,0.0021,90.726,100.0
99,0,0.0014,90.726,100.0
100,0,0.0027,90.854,100.0
101,0,0.0048,90.879,100.0
102,0,0.0039,90.93,100.0
103,0,0.0032,90.93,100.0
104,0,0.0036,90.93,100.0
105,0,0.0025,90.879,100.0
106,0,0.0032,90.904,100.0
107,0,0.0138,90.879,100.0
108,0,0.0019,90.828,100.0
109,0,0.0068,91.006,100.0
110,0,0.0035,91.057,100.0
111,0,0.0044,90.93,100.0
112,0,0.0046,90.955,100.0
113,0,0.0016,90.955,100.0
114,0,0.0113,90.981,100.0
115,0,0.0062,91.108,100.0
116,0,0.0037,91.287,100.0
117,0,0.0038,91.389,100.0
118,0,0.0039,91.389,100.0
119,0,0.0025,91.465,100.0
120,0,0.0029,91.389,100.0
121,0,0.0084,91.389,100.0
122,0,0.0023,91.414,100.0
123,0,0.0033,91.414,100.0
124,0,0.0014,91.389,100.0
125,0,0.0167,91.363,100.0
126,0,0.0051,91.465,100.0
127,0,0.0121,91.439,100.0
128,0,0.1333,91.261,100.0
129,0,0.0024,91.185,100.0
130,0,0.0023,90.904,100.0
131,0,0.0107,90.701,100.0
132,0,0.0039,90.446,100.0
133,0,0.0745,90.497,100.0
134,0,0.0503,90.217,100.0
135,0,0.0554,90.369,100.0
136,0,0.0325,90.573,100.0
137,0,0.0393,90.497,100.0
138,0,0.0108,90.573,100.0
139,0,0.005,90.395,100.0
140,0,0.0045,90.293,99.975
141,0,0.0052,90.038,100.0
142,0,0.0596,90.166,100.0
143,0,0.0113,90.14,100.0
144,0,0.0226,90.064,100.0
145,0,0.0222,90.089,100.0
146,0,0.0058,90.191,100.0
147,0,0.0239,90.14,100.0
148,0,0.0045,90.089,100.0
149,0,0.0141,90.166,100.0
150,0,0.0122,90.42,100.0
151,0,0.0161,90.395,100.0
152,0,0.0072,90.471,100.0
153,0,0.0103,90.701,100.0
154,0,0.0089,90.701,100.0
155,0,0.0058,90.726,100.0
156,0,0.0047,90.854,100.0
157,0,0.0147,90.879,100.0
158,0,0.0035,90.854,100.0
159,0,0.0034,90.879,100.0
160,0,0.007,91.032,100.0
161,0,0.0138,91.134,100.0
162,0,0.0084,91.057,100.0
163,0,0.0089,91.006,100.0
164,0,0.0154,91.108,100.0
165,0,0.0047,91.032,100.0
166,0,0.0066,91.083,100.0
167,0,0.0056,91.108,100.0
168,0,0.005,91.134,100.0
169,0,0.0205,91.134,100.0
170,0,0.0184,91.21,100.0
171,0,0.0068,91.261,100.0
172,0,0.01,91.21,100.0
173,0,0.0113,91.083,100.0
174,0,0.0025,90.955,100.0
175,0,0.0078,90.904,100.0
176,0,0.0087,90.777,100.0
177,0,0.0097,90.955,100.0
178,0,0.0101,90.879,100.0
179,0,0.0137,90.93,100.0
180,0,0.0075,90.904,100.0
181,0,0.0168,90.981,100.0
182,0,0.007,91.032,100.0
183,0,0.0184,91.032,100.0
184,0,0.0101,91.21,100.0
185,0,0.0103,91.261,100.0
186,0,0.0061,91.261,100.0
187,0,0.0078,91.21,100.0
188,0,0.0092,91.185,100.0
189,0,0.0152,91.261,100.0
190,0,0.0054,91.21,100.0
191,0,0.011,91.363,100.0
192,0,0.2095,91.159,100.0
193,0,0.0018,91.134,100.0
194,0,0.0032,90.752,100.0
195,0,0.0016,90.242,100.0
196,0,0.0062,89.529,100.0
197,0,0.0054,89.223,100.0
198,0,0.0085,88.637,100.0
199,0,0.0043,87.924,100.0
200,0,0.0052,87.439,100.0
201,0,0.0075,87.134,100.0
202,0,0.0148,87.083,100.0
203,0,0.0159,87.363,100.0
204,0,0.0061,88.025,100.0
205,0,0.0265,88.79,100.0
206,0,0.0156,89.172,100.0
207,0,0.0038,89.631,100.0
208,0,0.0473,89.962,100.0
209,0,0.0088,90.089,100.0
210,0,0.013,90.446,100.0
211,0,0.0114,90.599,100.0
212,0,0.0071,90.777,100.0
213,0,0.0318,91.032,100.0
214,0,0.0085,91.108,100.0
215,0,0.0157,91.134,100.0
216,0,0.01,91.134,100.0
217,0,0.0036,91.032,100.0
218,0,0.0072,90.955,100.0
219,0,0.0077,90.828,100.0
220,0,0.0146,90.828,100.0
221,0,0.0094,90.93,100.0
222,0,0.018,90.879,100.0
223,0,0.0075,91.006,100.0
224,0,0.0077,91.006,100.0
225,0,0.0025,90.93,100.0
226,0,0.0134,90.981,100.0
227,0,0.0111,91.006,100.0
228,0,0.009,90.981,100.0
229,0,0.0093,90.904,100.0
230,0,0.0089,90.879,100.0
231,0,0.0084,90.879,100.0
232,0,0.0053,90.93,100.0
233,0,0.0126,91.006,100.0
234,0,0.0044,90.93,100.0
235,0,0.0098,90.955,100.0
236,0,0.0079,91.108,100.0
237,0,0.0054,91.363,100.0
238,0,0.0062,91.414,100.0
239,0,0.0055,91.439,100.0
240,0,0.0036,91.516,100.0
241,0,0.0134,91.592,100.0
242,0,0.0049,91.541,100.0
243,0,0.0146,91.465,100.0
244,0,0.0094,91.439,100.0
245,0,0.0039,91.592,100.0
246,0,0.0117,91.618,100.0
247,0,0.0237,91.618,100.0
248,0,0.0103,91.669,100.0
249,0,0.0032,91.643,99.975
250,0,0.0081,91.771,99.975
251,0,0.0025,91.745,99.975
252,0,0.0108,91.873,99.975
253,0,0.0079,91.847,99.975
254,0,0.0257,91.873,99.975
255,0,0.0061,91.847,99.975
256,0,0.0515,91.694,99.975
257,0,0.0053,91.72,99.975
258,0,0.0051,91.745,99.975
259,0,0.0104,91.771,99.975
260,0,0.0036,91.516,99.975
261,0,0.0068,91.49,99.975
262,0,0.0089,91.414,99.975
263,0,0.0051,91.389,99.975
264,0,0.0099,91.414,99.975
265,0,0.0194,91.338,99.975
266,0,0.0047,91.21,99.975
267,0,0.006,91.261,99.975
268,0,0.0045,91.287,99.975
269,0,0.0103,91.236,99.949
270,0,0.0119,91.389,99.924
271,0,0.009,91.363,99.898
272,0,0.0044,91.49,99.873
273,0,0.0048,91.389,99.873
274,0,0.0047,91.363,99.873
275,0,0.009,91.363,99.847
276,0,0.004,91.363,99.847
277,0,0.0126,91.465,99.873
278,0,0.0077,91.389,99.847
279,0,0.0058,91.363,99.847
280,0,0.006,91.389,99.847
281,0,0.0061,91.389,99.873
282,0,0.0053,91.389,99.873
283,0,0.0066,91.567,99.873
284,0,0.0066,91.618,99.873
285,0,0.0102,91.49,99.873
286,0,0.0047,91.516,99.873
287,0,0.008,91.618,99.873
288,0,0.0053,91.541,99.873
289,0,0.0123,91.465,99.873
290,0,0.0082,91.49,99.898
291,0,0.0056,91.567,99.898
292,0,0.0053,91.618,99.898
293,0,0.0125,91.567,99.924
294,0,0.0059,91.592,99.924
295,0,0.0052,91.541,99.949
296,0,0.0044,91.49,99.949
297,0,0.0084,91.618,99.949
298,0,0.0124,91.516,99.949
299,0,0.0109,91.618,99.949
300,0,0.0061,91.669,99.949
