Epoch,Clean Loss,Clean ACC,Targeted Loss,Targeted ASR
0,2.266,14.163,0.015,99.94
1,2.224,17.358,0.021,99.97
2,2.124,18.52,0.028,99.9
3,2.025,23.087,0.042,99.81
4,1.946,24.85,0.069,99.549
5,1.85,29.036,0.116,99.289
6,1.766,32.823,0.15,99.018
7,1.693,35.847,0.173,98.187
8,1.631,39.083,0.256,95.723
9,1.567,41.406,0.305,92.778
10,1.519,43.059,0.208,94.742
11,1.477,45.182,0.339,90.385
12,1.422,47.075,0.331,89.473
13,1.384,48.618,0.405,86.739
14,1.35,49.88,0.404,86.418
15,1.324,51.432,0.429,85.657
16,1.281,53.005,0.319,89.503
17,1.261,53.626,0.404,86.629
18,1.234,54.718,0.284,90.615
19,1.21,56.21,0.371,87.32
20,1.184,57.452,0.278,90.415
21,1.156,58.584,0.192,93.6
22,1.145,59.205,0.223,92.548
23,1.118,59.836,0.234,92.298
24,1.102,60.877,0.164,94.742
25,1.079,61.508,0.151,95.002
26,1.069,61.789,0.154,94.932
27,1.046,62.79,0.123,95.853
28,1.042,63.091,0.088,97.256
29,1.022,63.542,0.079,97.456
30,1.009,63.842,0.135,95.513
31,0.997,64.924,0.12,96.084
32,0.988,65.144,0.117,96.094
33,0.976,65.735,0.185,93.69
34,0.966,66.076,0.142,95.172
35,0.956,66.516,0.131,95.643
36,0.954,66.276,0.114,96.264
37,0.943,66.977,0.119,96.064
38,0.934,67.097,0.141,95.262
39,0.925,67.668,0.206,93.089
40,0.914,67.768,0.162,94.571
41,0.908,68.309,0.17,94.321
42,0.904,68.339,0.186,93.77
43,0.903,68.419,0.138,95.563
44,0.888,68.63,0.23,92.037
45,0.882,69.371,0.158,94.742
46,0.88,69.301,0.192,93.289
47,0.881,69.251,0.197,93.309
48,0.868,69.581,0.247,91.707
49,0.863,70.052,0.218,92.778
50,0.86,69.952,0.242,92.057
51,0.851,70.333,0.228,92.428
52,0.85,70.232,0.23,92.498
53,0.848,70.363,0.241,92.107
54,0.845,70.753,0.288,90.615
55,0.839,70.803,0.194,93.419
56,0.835,71.054,0.316,89.553
57,0.83,70.984,0.251,91.536
58,0.833,71.044,0.251,91.617
59,0.826,71.134,0.369,88.051
60,0.821,71.314,0.357,88.221
61,0.821,71.344,0.372,87.61
62,0.821,71.514,0.306,89.854
63,0.809,71.945,0.413,86.218
64,0.808,71.665,0.375,87.48
65,0.805,71.925,0.292,90.184
66,0.806,72.346,0.409,86.378
67,0.8,72.216,0.282,90.475
68,0.8,72.466,0.353,87.991
69,0.796,72.596,0.519,82.752
70,0.793,72.516,0.411,86.288
71,0.788,72.847,0.443,85.377
72,0.786,72.766,0.522,82.572
73,0.786,72.867,0.43,85.897
74,0.788,73.027,0.493,83.894
75,0.784,73.147,0.617,80.098
76,0.789,73.017,0.577,81.38
77,0.778,73.257,0.543,82.382
78,0.779,73.237,0.659,77.835
79,0.785,72.997,0.564,81.721
80,0.778,73.377,0.439,85.547
81,0.77,73.698,0.568,81.33
82,0.771,73.768,0.898,71.254
83,0.769,73.347,0.61,79.267
84,0.769,73.758,0.879,71.304
85,0.776,73.528,0.876,71.194
86,0.777,73.548,0.674,78.526
87,0.776,73.888,0.604,80.409
88,0.771,74.099,0.792,74.76
89,0.783,73.748,0.82,73.558
90,0.772,74.209,1.078,66.597
91,0.767,74.249,0.695,77.344
92,0.768,74.209,0.723,76.552
93,0.764,74.399,0.955,69.551
94,0.763,74.319,0.794,74.649
95,0.77,74.249,0.61,80.429
96,0.766,74.72,1.001,68.359
97,0.762,74.379,0.923,70.613
98,0.782,74.309,1.064,65.966
99,0.768,74.609,0.958,69.762
