Total Loop,FTS Loop,Restrict Poisoned Train Loss,Restrict Poisoned Train Acc
1,0,-3.419,9.35
2,0,-4.244,5.4
3,0,-3.189,3.55
4,0,-4.107,0.7
5,0,-3.091,6.5
6,0,-2.341,41.9
7,0,-3.166,14.6
8,0,-5.328,0.9
9,0,-3.203,4.85
10,0,-3.51,1.85
11,0,-3.318,9.5
12,0,-3.274,4.45
13,0,-2.631,9.55
14,0,-2.41,18.05
15,0,-3.414,3.3
16,0,-4.304,0.2
17,0,-2.826,6.2
18,0,-3.457,1.55
19,0,-3.941,2.65
20,0,-3.041,6.25
21,0,-1.627,17.1
22,0,-4.291,2.05
23,0,-2.577,14.1
24,0,-3.059,1.55
25,0,-2.241,19.5
26,0,-2.738,1.7
27,0,-2.816,7.95
28,0,-1.662,35.05
29,0,-3.493,0.3
30,0,-3.221,0.5
31,0,-2.401,1.35
32,0,-3.285,0.5
33,0,-2.055,2.85
34,0,-1.774,50.25
35,0,-2.497,1.6
36,0,-1.266,68.15
37,0,-3.118,1.15
38,0,-2.205,1.35
39,0,-2.007,3.3
40,0,-1.599,17.85
41,0,-4.692,1.35
42,0,-2.21,1.8
43,0,-2.443,1.1
44,0,-4.145,0.65
45,0,-1.381,28.4
46,0,-3.298,0.15
47,0,-4.107,1.7
48,0,-1.488,87.1
49,0,-1.376,89.65
50,0,-1.47,86.5
51,0,-2.276,0.9
52,0,-2.267,0.0
53,0,-3.343,1.75
54,0,-3.889,2.9
55,0,-2.686,0.9
56,0,-3.051,0.05
57,0,-1.579,80.85
58,0,-2.839,0.8
59,0,-2.92,0.15
60,0,-3.162,0.0
61,0,-4.426,3.9
62,0,-1.62,86.85
63,0,-3.096,0.15
64,0,-3.808,3.65
65,0,-2.991,0.05
66,0,-1.696,73.3
67,0,-2.185,0.4
68,0,-3.526,4.2
69,0,-4.867,4.3
70,0,-2.95,0.3
71,0,-1.927,2.8
72,0,-3.329,0.25
73,0,-2.811,0.5
74,0,-3.505,3.05
75,0,-3.216,0.1
76,0,-3.22,0.25
77,0,-2.796,1.2
78,0,-2.602,0.2
79,0,-2.539,0.25
80,0,-3.037,0.1
81,0,-3.152,0.6
82,0,-2.852,0.4
83,0,-3.003,0.15
84,0,-2.293,0.4
85,0,-3.893,0.2
86,0,-3.688,1.0
87,0,-2.238,0.7
88,0,-2.068,0.3
89,0,-3.01,0.15
90,0,-1.869,0.8
91,0,-3.837,0.15
92,0,-2.564,0.0
93,0,-4.614,4.5
94,0,-3.42,5.0
95,0,-2.881,0.35
96,0,-2.461,0.3
97,0,-3.219,0.15
98,0,-2.846,0.1
99,0,-3.082,0.2
100,0,-4.879,4.6
101,0,-2.235,0.1
102,0,-4.265,0.2
103,0,-1.632,27.1
104,0,-2.572,0.05
105,0,-2.848,0.25
106,0,-4.234,3.35
107,0,-1.671,3.5
108,0,-3.599,0.1
109,0,-4.365,5.1
110,0,-3.859,0.05
111,0,-1.211,93.55
112,0,-2.717,0.1
113,0,-2.291,0.1
114,0,-1.969,0.5
115,0,-2.264,0.0
116,0,-2.03,0.5
117,0,-2.858,0.0
118,0,-2.942,0.0
119,0,-1.764,0.85
120,0,-2.718,0.05
121,0,-2.787,0.15
122,0,-4.578,5.1
123,0,-3.659,4.95
124,0,-2.4,0.3
125,0,-2.842,0.15
126,0,-4.309,4.55
